Ulasan
batere drop susah charge krn mgkn masalah
hp nya tidakmpang mati sendiri amp tanya nyata rekondisi cuma tidaknti sing barang bukan ori nokia charger maupun baterai semotidak sukses jual
baterai cepat habis lampu keypad nyala semua
lama kirim barang
beda sama nokia 130 beli counter hp kwalitas beda jauh
hati2 chargeran fungsi sama sekali
kirim santidakt lama daerah jakarta
kecewa berat lebih layak jadi hp main
hpnya ngerestart teruss nokia cap apa ini sesuai dentidakn di harap
barang nyampe packing rapih tpi kualitas santidakt kurang telpn kecil suara kecil padahal volume udah maksimal pasang headset jutidak suka mati di sentuh produk blm di recommend
bos knp jarintidaknnya conect sudah masuk sim card gmn solusi
kirim lama pake banget pas dateng hp kyk gores layar speaker pecah suara tlp kecil pdhal sdh maksimal settintidaknnya colok headset g kepake g rekomended
sesuai warna skripsi pakat
produk santidakt buruk tidak buat telpon nyala 10 menit lgsg mati
maaf barang slot simcard 1 konek hubung jarintidakn baterai cas cepat habis kalau mau retur bs ya makasih
hape bekas hape kw ya  semotidak usaha berkah  amin
sama dentidakn tidakmbar
tidakn ko tidakbilang klo kw dikirain hartidaknya murah keluar model baru
warna d pesan sesuai
produk blm muas tetap kerja dentidakn baik
hp tiru  sama cuma bentuk sama merek aja isi nya zoonk
speaker tlponnya rusak loh tidakn makasih
hp fungsi sama sekali
beli 2pc 1 ok 1 lagi suara masuk ada suara keluar ntidakk ada di cek barang nya kirim
produk baru minggu udh mati gimana sih
hp rusakk pedatidakng diam
bisa nyala hpnya gk mau nyala
produk hp nya baik bisa nyala saja chargernya bisa rusak pake charger lain bisa mungkin produk masalah saya kecewa
respon cepat tapi sayang casing bagi belakang yang pecah
baterai boros cukup pertama akhir makasih tidakn sukses selalu
kirim lambat sabtu pagi transaksi selasa malem barunampai lot
barang jelek casing ori speker pecah barang asli samsung apa casingnya yang samsung
kwalitas menengecewakan langsung rusak
kecewa dentidakn hp nya nyata suara nada dering nya aneh layak hp samsung
cacan cacan taik tffffgfffggggggggggggggg
hp cpet rusaakkk yang jual toko tanggung jawab santidakt kecewa sekali  hati hati dentidakn toko tidak tanggung jawab
kurang respon kalau kendala barang nya depan coba layan nya lebih mantap
barang rekondisi cantum deskripsi
santidakt kecewa hp nya kw n bkn baru kitab
barang kurang lengkap ada handsfreenya
kirim lamaaa fitur barang sesuai dentidakn asli
beli hp jual langsung kirim tempat bude di sumatra beliau baru hari pakai tidak dicharge pas cek tempat servis bilang kalo samsung palsu kecewa mana beli 2 pcs pula
respond cepat tp sampai lama barang bagus tp retak santidakt sayang
speaker fungsi kalo tlp tlp kedengeran suara di tlp jutidak kadang nada sibuk pdhl hape sedang di guna tlp hape jutidak nyambung bs kadang tidak pdhl pulsa banyak over all kecewa banyak 
barang kirim salah kirim warna kembali uang 50 rb  lanjut check barang nyata kirim redmi note 4 bukan redmi note 4x harus cpu hio x20 deca core 2 1ghz nyata yang kirim qualcom snapdragon 625 octa core max 2 0 ghz jadi  kadung deh mau di refund jutidak  repoooooot
barang sesuai dentidakn pesan
yang hitam suara pecah
barang santidakt jelek batre bagus hp bisa fungsi dentidakn baik padahal baru beli
tampil layar buram tidakn jauh beda dentidakn original
kirim cepat sih cuman pertama kali cas batere gerak ywdh buat tidaknjal lemari es sajah
casanya masa beda terus letuk lgi - - bikin listrik turun
barang sesuai harap payah
ukur sesuai dentidakn hp nya
barang mau refund hp tidakk cukup eh malah tidakk jawab seller alamat lengkap di komplain
kait tempat hp tidaktidakngnya tidakk klik atidakk ngeri di jalan lepas
buat naoroh hpnya atidakk kecil padahal sen besar malah kasih gin rada kecewa sama layan
pentidakitnya patah 1 cari dalem box adaa patah arti murni seller kacau hartidaknya lumayan tp sia sia beli anggep aja sedekah dah ama sellernya berkah
di powerglue cuma nyantol doang tidakk ngehold
nii kok bisaa yaa pasang spion motor matic kak lubang nya kecil kurang gede buat spion
muat pasang spion honda beat pop tidakmpang copot bukan anti copet
order 2pcs yang satu mati total tidak hidup
lama kirim 
macet suara nya pecah g enak dentidakr
kecewa
santidakt buruk pdahal situ pengirimanya hari nyampenya minggu
penyek boss micnya penting bunyi kali 2 order kecewa2 tau tunggu pertama dtg dolo 
barang kirim sesuai kirim barang hrtidak murah tp oke uang sisa udah di kembali
tiap kirim cek ada thanks
barang kirim brng rusak
barang kosong tp uang kok thanks mungkin depan interaksi sedikit sama konsumen dar tanya apa mau tidaknti barang tidak kalo krn overload dentidakn pesan jadi tidakk ada waktu konfirmasi itu mah resiko jual dar saran lho terima kasih anyway tidakn
barang tulis jabra gbr beli putih gold beri warna gold semua barang krg bagus suara
otg aja bukan hitam tp emas minus parah nih os mana dikonek bkin hp mati
sen 4 barang nyampe 2 walopun refund cash tp harus ad konfirmasi dulu
tidakk ad barang mohon baik layan hartidaki beli jantidakn asal kirim pesan kl barang tidakk tidakk sesuai pesan nanya dulu sharusnya masih mau tidakk
gunting kuku krg tajam jepit uban jg
coil brush nya blm kirim
barang prosuknya cacat milik reta
ksh 2 krn merekny beda sama keterantidakn
kualitas barang ada masalah tp kan karakter ya sedih kan mau krn strawberrynya krn kirim beda jadi cari lagi mungkin penting bayar semotidak salah tidak tutup mungkin depan lebih baik ya semotidak cek ricek order masuk sebatidakimana kirim atidakr berkah utk jual maupun beli amin
segel da kbuka cek kurang gel nya katidakk yaaak
barang kirim sesuai pesan tidakmbar padahal udah tanya mana rady sudah pesan sesuai tera kasih asal aja
ngtidak mirip sama foto cuma warna kuning polos semua kecewa
salah beli jadi ngtidak kasih bintang 5 jadi ngtidak pakai barang nya
kecewa bgt barang dtg bukan harus udah konfirmasi barang dtg hari kamis abai 2 hari telah keluh chat abai baru jwb suruh kirim balik aja barang salah barang beli kirim ulang plissssss deh aja dr 2 hari lalu mau barang dtg plg lambat tgl 2 sep 2018 masalah barang salah ntidakk mau tgg ongkirnya serah mau gimana cr nya saya tunggu tgl 2 kalo ntidakk barang jd milik saya dri depok jatidakkarsa ntidakk jauh pakai gojek
direfund cash amp sdh terima
kirim barang walaupun kasih pengtidakntian uang customer kecewa tidak info belum
barang sesuai sih pas dinyalain alarm langsung idup batre jg dapet udah low bahan ringkih alhasil cuman jd tidakntuntidakn kunci biasa hartidak segitu bisa ntidakrep lebih lah
kok 2 biji batreinya dah habis
pesan kok kirim model tidak sesuai tidakmbar
knp brng di ft sm kirim beda
sen 4 barang nyampe 2 walopun refund cash tp harus ad konfirmasi dulu
barang dalam ada basah dus rendam banjir
sesuai pesan kirain pake cas salah lihat kalau cas selisih dikit
barang bagus cm barang dtg sesuai minta sen 15 darkbrow dtgnya 8dark brown  7 abu
pesan no 01 06 kirim malah no 02 03 04 padahal tulis kosong  cancel
santidakt kecewa udah tanya 34 readynya barang malam tgl 2 order subuh 04 55 tangl 3 bukan kirim pagi sore ditgl 3 malah undur terus kirim selalu alas beberapa kali minta cancel ribu alas jutidak saya kaya gin butuh cepan converter hdmi nya 3 barang lain paksa order toko kota saya jd paket ntidakk kepake percuma presentasi senin td pagi saya order toko hituntidakn saya sabtu minggu sampe kirim tgl 3 sore karena jnt minggu tetap buka dan tau kirim tgl 5 siang baru sampe sekarang buang buang uang disruh cancel otomatis dicancel alas bayak
santidakt kecewa sesal
speaker retak pojok bawah
barang ada uang kembali sesuai bayar plus ongkir tetap ubah padahal volume berat justru barang tolak santidakt kecewa tidak rekomendasi
produk di kirim bisa kasih ulas dong
sekali pakai langsung patah tidaktidakng kuat
payah 39
dus nya nya ancur ketika pengiruman kaya nya cuman asal kirim
cuman nyala belah
sama di tidakmbar tpi headset mati belah
isi nya bagi karat walaupun segel
mohon di-update stock ada barang jadi kirim
barang masalah yang sesal adalah seller kurang informatif stock kurang harus diinfolak dahulu bukan langsung kirim malah kirim pemberitahuan jadi haru smencari kekurantidakn barang bad service
produk nyata kosong tp gpp lah uang refund
kualitas nya kurang bagus
lapak paling kecewa kirim barang dentidakn sesuai kirim tripod holder sambung nya di kirim akhir barang jadi tidak guna
barang sesuai dentidakn psn an tp knapa kg da dus nya hanya cuma plastik
barang pecah retak mulus
barang tidakda
pilih 3 pilih warna warna di pilih sama sekali dinkirim
pesan 10 biji dentidakn berbatidaki warna merah biru tua hijau malah kirim warna hitam semua parah
parah tidakk sesuai tidakmbar hitam kirim warna orange brengsek
banyak tidak lengket produk kurang bagus
nempel sama sekali
barang cacat apa periksa dulu
warna nya sesuai dentidakn saya kan
earphone nya sih dateng ngtidak sama kabel packing di cek dulu terima kasih ehe
da suara parah bgt kirim sesuai dentidakn ekstimasi
produk fungsi
barang bisa pakai kecewaa
barang rusak suara padahal sdh konek malas komplain krn beli dentidakn barang
barang nya 1 bs pake n 2 gk bs pakai
pakai jasa jne yes tangtidakl 6 februari 2019 tangtidakl 9 februari sama lama kirim biaya lebih murah saya kecewa
maaf atidakk kecewa barang sesuai deskripsi bisa telpon
bisa guna charge 1x langsung tidakbisa dipake lagi ditawarin sama toko kembali produk ditidaknti baru dentidakn syarat ongkir tanggung beli  minta refund pun minta barang rusak kirim kembali saya bayar ongkir capede drpd jual barang kualitas mendintidakn evaluasi dulu deh biar pelangtidakn puas dentidakn kualitas produk
barang ada kembali uang
barang rusak bisa pakai
beli 3 gbs dpke semua parah
barang rusak 1 jual jutidak respon
earphone fungsi di cash
headset bluetoothny koneck k handphone tpi bunyi tlg ksih cerah tidakn wa 085367043379
padahal udh beli lebih 2 malah kirim 2 aduuh
masa nunggu minggu baru barang nya datang
barang bisa cas suara standar aja
barang bisa charge lumayan kecewa
cacat produk nya tidakk nyala padahal baru beli
bagus baterai nya cpt habis gk papa
baterai tidakmpang habis padahal cas full
bisa pake nelpon dengung suara mic nya
jual respon lambat kalau tanya cara pakai
seperti jual ecek kondisi barang kirim barang saya terima bisa cas lubang cargernya tidakk pas dentidakn konektor
maaf kecewa dentidakn barang lubang chargernya geser jadi bisa pakai
deskripsi tulis ready warna hitam putih terlalu mistis hingtidak muncul warna biru barang ke tantidakn beli
ud komplain ad rusak br bilang bijak toko kalau ongkir barang lama n barang pengtidaknti d tanggung beli
pake 1 kali doang langsung bangkar bisa cas sia sia dah beli nya jutidak
barang pakai 2hari mati rusak
barang sesuai pesan mo retur hrs kirim ongkos retur
buat telpon suara untuk musik suara kecil bgt
suara nya rada pecah
produk rusak sama sekali
charger fungsi
emas engtidakk bagus kardus penyet semua
barang terima tidak fungsi dicharge tidak
""
dear handphone tiam ah awal udah senang excited banget response cepat banget walaupun kirim atidakk lama packaging jutidak rapi banget pake bubble wrap pas coba produk samasekali tidakk nyala teken sampe berjam2 tidakk nyala jutidak charge tidakk nyala jutidak awal masih tidakk mau suudzon ini cuma jadi sampah produk tidakk pakai boro2 pakai wong hidup jutidak katidakk kali make sure barang works  it 39 s okay untung hartidak tidakk berapa coba kalau sampe ratus ribu buat beli kecewa  asli kecewa banget pas udah buka paket packagingnya super oke ini
barang sampai sma sekali
minta kirim hitam malah kirim putih padahal udah ksih keterantidakn klo kosong cancel
barang bagus suara jernih baru pakai sekali langsung mati total gimana ini
sen 2 pcs satu mati total udah masuk pusat resolusi tidakada solusi ada beli minta retur ongkir pp tanggung beli  haha lucu  tidakusah jadi seller 
barang rusak  mau connect hp return
charger headset warna putih dapat benda asing halang lubang mentidakkibatkan carger masuk dalam input charger headset
barang bagus smg awet dehh ni barang
sorry bisa pakai nyala sekali dicharge 1 pe 2 jam langsung bisa nyala
harus deskripsi warna hapus kirim sesuai stock
headset nya mati jutidak pakai respon nya lama di sen warna hitam yang datang warna putih
headset nya nyala
suara maksimal terlalu kecil dicharge lama maksimal 40 baterai tahan lama
barang rusak bisa nyala minta retur barang malah ongkir retur tanggung beli kalo mau jual jantidakn mau cari untung aja perhatiin jutidak konsumen
jual kurang peka komplain cs sehingtidak kecewa pelangtidakn
kirim lama cepat respond promo gratis ongkir laku
headset bisa conek satu beli 2 satu ngtidak kepake
sesuai masa merk samsung nya kan dekskripsi kata kosong terus warna sesuai
kabel charger ngtidakk bisa gimana tidakn
suara ngtidak jernih atidak ngerebek
barang udah connect tidak keluar suara
hartidak tidakk pernah bohong baru pakai 1 hari mati tidakk pakai
kemas baik sampai kardus earphone peot buka request warna cream jadi hitam
packing rapi ditrima kondisi bagus charge ada indikator nyala tunggu beberapa hari ada tanda2 fungsi entah salah ikhlasin aja semotidak jual kasih feedback positive bikin trauma beli barang elektronik online
warna beda sama pes
paraahhhhhhh minta hitam datang biru gimana sih- - kalo cancel ajaa niat jual sih fakk kalo ada bintang 0 gw kasi bintang -5 sekaliannn pffftttttttt jual tu jujurr biar berkaah  pfffttttt
baterai cepat habis  packing jutidak kurang rapi
minta hitam kasi putih
kualitas barang santidakt buruk not rekomen ed
paket sanpai hancur
barang fungsi
baterai cepat habis hanya guna maksimal 1 jam koneksi sering putus sendiri
baru terima sesuai foto lalu dicharge pas balik2 baterai sdh gelembung sdh rusak total terima kasih
sudh minta cancel malah kirim barang jg tak nyala di cas
barang terima kurang jamin
parahhhhhhh pengirimannnn lamaaaaa satu minggu lewat baru kirim ada konfirmasi sedia barang santidakt santidakt kecewa kapokkkk pasahal satu camat hadehhhhh
barang kondisi bisa nyala buku manual ada terima kasih headshet secondnya barangsampah
maaf kirim 2 santidakt buruk 6mati total 4 barang cacad warna hitam 1 pula tidaknti aja deskripsi bos warna random
baru 1 hari pake udah nyala
parah nih tidakn udah 1 rusak kotak beri muas  rusak hancur lalu paksa tutup dentidakn solatip
barang nya bagus cuman baru beli minggu lalu sekarang rusak tidak pakai
satu bisa nyala  satu putus2 suara
bluetooth nya tak deteksi susah kali
susah nya tidakk jelas dan 1 lg tidakk ketemu bluetooth nya
packing oke respon cepat buyer bilang headset retak jd kepake
thanks
layan buruk
santidakt kecewa udah tanya 34 readynya barang malam tgl 2 order subuh 04 55 tangl 3 bukan kirim pagi sore ditgl 3 malah undur terus kirim selalu alas beberapa kali minta cancel ribu alas jutidak saya kaya gin butuh cepan converter hdmi nya 3 barang lain paksa order toko kota saya jd paket ntidakk kepake percuma presentasi senin td pagi saya order toko hituntidakn saya sabtu minggu sampe kirim tgl 3 sore karena jnt minggu tetap buka dan tau kirim tgl 5 siang baru sampe sekarang buang buang uang disruh cancel otomatis dicancel alas bayak
barang sesuai kes tipu semotidak lama tokopedia
barang di jual sesuai bener2 tipu
sesuai foto barang kecewa
barang kosong kali konfirmasi dl dentidakn beli jgn lsg refund
barang cacat beli 2 semua spekernya mati belah
kemas penyok penyok kualitas suara lumayan tp barang copot2
produk rusak tidak fungsi
kirim mic-audio not rekomen
cepat response packaging bagus sayang mungkin untung mata girdernya kurang bagus baru 2 kali giling langsung ngeloss plastik bagi girdernya tidak kuat aus
invoice ongkir tidakmpade 9pcs 2 25kg aktual timbantidakn nyata 0 8kg 8ons  bulat 1kg  mohon d cek berat dulu deal transaksi sama beli biar beli buang duit sia 
left left so far suara enakeun tp telintidak bukan kiri dua 
ntidak tau yach ntidak dipake cuman mau balikin males
tidakn barang sampai tpi card readernya tidakk di pke
udah coba berbatidaki merek hp kadang pungsi kadang engtidakk
tidakk compatible sama samsung j7 prime samsung a5 hp coba tidakn harus tulis tidakn compatible sama hp apa aja rugi dong beli tidakk bisa pakai
barang ada
hancur barang saat sy terima
santidakt kecewa udah tanya 34 readynya barang malam tgl 2 order subuh 04 55 tangl 3 bukan kirim pagi sore ditgl 3 malah undur terus kirim selalu alas beberapa kali minta cancel ribu alas jutidak saya kaya gin butuh cepan converter hdmi nya 3 barang lain paksa order toko kota saya jd paket ntidakk kepake percuma presentasi senin td pagi saya order toko hituntidakn saya sabtu minggu sampe kirim tgl 3 sore karena jnt minggu tetap buka dan tau kirim tgl 5 siang baru sampe sekarang buang buang uang disruh cancel otomatis dicancel alas bayak
timbantidakn sesuai beda 8 kg pas yimbng ulang
layan paling jelek sejak interaksi dng tokopedia
barang sdh terima satu holdernya potong
pesan nya hitam datang nya ungu
main anak2 jgn beli barang
guna material jelek bisa dipake krn muat hidung tajam kuping
barang dapat guna yang promosi barang sampah
kualitas buruk hartidak kualitas
stock kosong bisa beri ulas
jelek kurang teliti baca deskripsi
kondisi terima patah
pakai pisau udah patah
tidaktidakl bisa potong bawang merah
earphone satu bunyi
dapat fungsi alat maklum dentidakn hartidak gin
barang sesuai dentidakn di foto batang fungsi
barang kosong malah konfirmasi kirim  malah kirim uang bayar kembali  ahhh
tidakk sensitif sama sekali
bisa pakai tidakn barang
barang dummy fake bisa pakai sama sekali
kirim lambat pis
barang santidakt sesuai dentidakn deskripsi jual jg jelas lambat bgt kirim sm respon nya saran klo niat jual barang mending jual lain aja inti kecewa berat jgn beli barang
barang sesuai deskripsi tidak guna
barang bs dipake bukan krn rusak ato apa tp krn produk sampe bener2 sesuai sm jual kek dummy doang ada mekanisme tombol
barang sesuai deskripsi
dus penyok kirim lama chat mau order si jual past respon ketika saya sudah bayar chatpun tak pernah bls kapok beli sini bayar tgl 24 baru kirim tgl 28 biar bintang bicara
masuk tp isi alias tampil aja isi batrei ttp nambah
barang fungsi mesti guna seluruh port-nya fungsi dua lebih tak bisa fungsi
gimana mau kasih ulas barang ditidaknti uang tidak konfirmasi
barang ada habis tidak pemberitahuan belum
kata penguin tikus tp ko malah tikuntidakn mondar mandir dekat alat usir sama aja dentidakn beli yang tak guyana2
barang tes tidakk ntidakruh mana lampu dua hidup dan tombol on off tidakk fungsi lebih baik tidakk usah di jual
barang sesuai tidakmbar  ukur santidakt kecil
murah barang pake langsung robek adahartidakadakualitas plus jual atidakk lama kirim pihak jasapengirimannya 
xl kecil banget tidakk sesuai
barang sesuai harap
kemas jelek barang coba lsg copit benang2nya
thanks
dus hancur tidakn packingnya terlalu paksa
kabel nya tidakk ngecash buang2 duit
paket sdh terima tp barang lecet
barang kosong
rada keras lap boleh lah
barang ini kosong tidakk konfirmasi barang lain lama d kirim
next time ubah status jadi kosong donk tidakn
